"","ensembl_transcript_id","ensembl_gene_id","mgi_symbol","chromosome_name","transcript_biotype","transcript_start","transcript_end","transcript_count","feature_symbol","feature_id"
"33","ENSMUST00000156053","ENSMUSG00000000202","Btbd17","11","processed_transcript",114791217,114795873,7,"Btbd17","ENSMUSG00000000202"
"34","ENSMUST00000000208","ENSMUSG00000000204","Slfn4","11","protein_coding",83175186,83190216,3,"Slfn4","ENSMUSG00000000204"
"35","ENSMUST00000000219","ENSMUSG00000000214","Th","7","protein_coding",142892752,142900014,6,"Th","ENSMUSG00000000214"
"36","ENSMUST00000105931","ENSMUSG00000000215","Ins2","7","protein_coding",142678656,142679685,9,"Ins2","ENSMUSG00000000215"
"37","ENSMUST00000113228","ENSMUSG00000000223","Drp2","X","protein_coding",134404551,134452700,6,"Drp2","ENSMUSG00000000223"
"38","ENSMUST00000143783","ENSMUSG00000000247","Lhx2","2","protein_coding",38339281,38369199,7,"Lhx2","ENSMUSG00000000247"
"39","ENSMUST00000000254","ENSMUSG00000000248","Clec2g","6","protein_coding",128934381,128984704,6,"Clec2g","ENSMUSG00000000248"
"40","ENSMUST00000000260","ENSMUSG00000000253","Gmpr","13","protein_coding",45507444,45546382,4,"Gmpr","ENSMUSG00000000253"
"41","ENSMUST00000108853","ENSMUSG00000000263","Glra1","11","protein_coding",55514238,55607733,3,"Glra1","ENSMUSG00000000263"
"42","ENSMUST00000112990","ENSMUSG00000000266","Mid2","X","protein_coding",140664956,140767715,5,"Mid2","ENSMUSG00000000266"
"43","ENSMUST00000100627","ENSMUSG00000000275","Trim25","11","protein_coding",88999376,89013702,3,"Trim25","ENSMUSG00000000275"
"44","ENSMUST00000107894","ENSMUSG00000000276","Dgke","11","protein_coding",89035179,89066850,3,"Dgke","ENSMUSG00000000276"
"45","ENSMUST00000000287","ENSMUSG00000000278","Scpep1","11","protein_coding",88924020,88955465,1,"Scpep1","ENSMUSG00000000278"
"46","ENSMUST00000000291","ENSMUSG00000000282","Mnt","11","protein_coding",74830920,74845725,3,"Mnt","ENSMUSG00000000282"
"47","ENSMUST00000000299","ENSMUSG00000000290","Itgb2","10","protein_coding",77530252,77565686,5,"Itgb2","ENSMUSG00000000290"
"48","ENSMUST00000000304","ENSMUSG00000000295","Hddc2","10","protein_coding",31313383,31328204,5,"Hddc2","ENSMUSG00000000295"
"49","ENSMUST00000000305","ENSMUSG00000000296","Tpd52l1","10","protein_coding",31332376,31445958,5,"Tpd52l1","ENSMUSG00000000296"
"50","ENSMUST00000150954","ENSMUSG00000000301","Pemt","11","processed_transcript",59970614,59971510,10,"Pemt","ENSMUSG00000000301"
"51","ENSMUST00000000312","ENSMUSG00000000303","Cdh1","8","protein_coding",106603351,106670246,3,"Cdh1","ENSMUSG00000000303"
"52","ENSMUST00000000314","ENSMUSG00000000305","Cdh4","2","protein_coding",179442431,179899373,6,"Cdh4","ENSMUSG00000000305"
"53","ENSMUST00000125812","ENSMUSG00000000308","Ckmt1","2","protein_coding",121357714,121360040,10,"Ckmt1","ENSMUSG00000000308"
"54","ENSMUST00000000326","ENSMUSG00000000317","Bcl6b","11","protein_coding",70224128,70229739,3,"Bcl6b","ENSMUSG00000000317"
"55","ENSMUST00000144935","ENSMUSG00000000318","Clec10a","11","protein_coding",70156197,70170263,10,"Clec10a","ENSMUSG00000000318"
"56","ENSMUST00000000329","ENSMUSG00000000320","Alox12","11","protein_coding",70241457,70255353,2,"Alox12","ENSMUSG00000000320"
"57","ENSMUST00000115614","ENSMUSG00000000325","Arvcf","16","protein_coding",18348182,18407076,10,"Arvcf","ENSMUSG00000000325"
"58","ENSMUST00000115609","ENSMUSG00000000326","Comt","16","protein_coding",18407346,18426852,4,"Comt","ENSMUSG00000000326"
"59","ENSMUST00000000348","ENSMUSG00000000339","Rtca","3","protein_coding",116488963,116508208,5,"Rtca","ENSMUSG00000000339"
"60","ENSMUST00000000349","ENSMUSG00000000340","Dbt","3","protein_coding",116513070,116549981,4,"Dbt","ENSMUSG00000000340"
"61","ENSMUST00000000356","ENSMUSG00000000346","Dazap2","15","protein_coding",100615628,100620731,1,"Dazap2","ENSMUSG00000000346"
"62","ENSMUST00000000365","ENSMUSG00000000355","Mcts1","X","protein_coding",38600655,38613426,5,"Mcts1","ENSMUSG00000000355"
"63","ENSMUST00000000369","ENSMUSG00000000359","Rem1","2","protein_coding",152626951,152635194,3,"Rem1","ENSMUSG00000000359"
"64","ENSMUST00000095793","ENSMUSG00000000365","Rnf17","14","protein_coding",56402581,56525032,6,"Rnf17","ENSMUSG00000000365"
"65","ENSMUST00000000384","ENSMUSG00000000374","Trappc10","10","protein_coding",78186725,78244641,5,"Trappc10","ENSMUSG00000000374"
"66","ENSMUST00000000388","ENSMUSG00000000378","Ccm2","11","protein_coding",6546887,6596744,8,"Ccm2","ENSMUSG00000000378"
"67","ENSMUST00000156969","ENSMUSG00000000384","Tbrg4","11","nonsense_mediated_decay",6615598,6626043,12,"Tbrg4","ENSMUSG00000000384"
"68","ENSMUST00000000395","ENSMUSG00000000385","Tmprss2","16","protein_coding",97564684,97611195,1,"Tmprss2","ENSMUSG00000000385"
"69","ENSMUST00000135184","ENSMUSG00000000386","Mx1","16","nonsense_mediated_decay",97447035,97462907,5,"Mx1","ENSMUSG00000000386"
"70","ENSMUST00000102732","ENSMUSG00000000392","Fap","2","protein_coding",62500943,62574075,9,"Fap","ENSMUSG00000000392"
"71","ENSMUST00000205002","ENSMUSG00000000399","Ndufa9","6","protein_coding",126821721,126849125,3,"Ndufa9","ENSMUSG00000000399"
"72","ENSMUST00000000412","ENSMUSG00000000402","Egfl6","X","protein_coding",166523007,166585720,1,"Egfl6","ENSMUSG00000000402"
"73","ENSMUST00000067240","ENSMUSG00000000409","Lck","4","protein_coding",129548349,129558391,8,"Lck","ENSMUSG00000000409"
"74","ENSMUST00000000421","ENSMUSG00000000411","Tssk3","4","protein_coding",129489014,129491022,1,"Tssk3","ENSMUSG00000000411"
"75","ENSMUST00000152499","ENSMUSG00000000416","Cttnbp2","6","retained_intron",18366478,18428231,9,"Cttnbp2","ENSMUSG00000000416"
"76","ENSMUST00000000430","ENSMUSG00000000420","Galnt1","18","protein_coding",24205344,24286818,8,"Galnt1","ENSMUSG00000000420"
"77","ENSMUST00000000445","ENSMUSG00000000435","Myf5","10","protein_coding",107482908,107486134,1,"Myf5","ENSMUSG00000000435"
"78","ENSMUST00000000449","ENSMUSG00000000439","Mkrn2","6","protein_coding",115601902,115622624,3,"Mkrn2","ENSMUSG00000000439"
"79","ENSMUST00000171644","ENSMUSG00000000440","Pparg","6","protein_coding",115360951,115490399,7,"Pparg","ENSMUSG00000000440"
"80","ENSMUST00000130528","ENSMUSG00000000441","Raf1","6","retained_intron",115618067,115634621,11,"Raf1","ENSMUSG00000000441"
"81","ENSMUST00000131208","ENSMUSG00000000486","Sept1","7","retained_intron",127214447,127215125,10,"Sept1","ENSMUSG00000000486"
"82","ENSMUST00000000500","ENSMUSG00000000489","Pdgfb","15","protein_coding",79995900,80014808,1,"Pdgfb","ENSMUSG00000000489"
"83","ENSMUST00000000542","ENSMUSG00000000530","Acvrl1","15","protein_coding",101128522,101145336,11,"Acvrl1","ENSMUSG00000000530"
"84","ENSMUST00000000543","ENSMUSG00000000531","Grasp","15","protein_coding",101224207,101232755,1,"Grasp","ENSMUSG00000000531"
"85","ENSMUST00000000544","ENSMUSG00000000532","Acvr1b","15","protein_coding",101174067,101213679,1,"Acvr1b","ENSMUSG00000000532"
"86","ENSMUST00000153920","ENSMUSG00000000538","Tom1l2","11","processed_transcript",60226715,60239176,11,"Tom1l2","ENSMUSG00000000538"
"87","ENSMUST00000060833","ENSMUSG00000000544","Gpa33","1","protein_coding",166130238,166166510,4,"Gpa33","ENSMUSG00000000544"
"88","ENSMUST00000168828","ENSMUSG00000000552","Zfp385a","15","protein_coding",103313895,103340086,1,"Zfp385a","ENSMUSG00000000552"
"89","ENSMUST00000215331","ENSMUSG00000000555","Itga5","15","nonsense_mediated_decay",103344286,103366748,2,"Itga5","ENSMUSG00000000555"
"90","ENSMUST00000010278","ENSMUSG00000000561","Wdr77","3","protein_coding",105959369,105969760,5,"Wdr77","ENSMUSG00000000561"
"91","ENSMUST00000164730","ENSMUSG00000000562","Adora3","3","protein_coding",105870858,105908353,3,"Adora3","ENSMUSG00000000562"
"92","ENSMUST00000118209","ENSMUSG00000000563","Atp5f1","3","protein_coding",105942698,105960099,6,"Atp5f1","ENSMUSG00000000563"
"93","ENSMUST00000000579","ENSMUSG00000000567","Sox9","11","protein_coding",112782224,112787760,1,"Sox9","ENSMUSG00000000567"
"94","ENSMUST00000172361","ENSMUSG00000000568","Hnrnpd","5","protein_coding",99955935,99978938,11,"Hnrnpd","ENSMUSG00000000568"
"95","ENSMUST00000092966","ENSMUSG00000000579","Dynlt1c","17","protein_coding",6601671,6609679,4,"Dynlt1c","ENSMUSG00000000579"
"96","ENSMUST00000000594","ENSMUSG00000000581","C1d","11","protein_coding",17257594,17269176,5,"C1d","ENSMUSG00000000581"
"97","ENSMUST00000000608","ENSMUSG00000000594","Gm2a","11","protein_coding",55098115,55113029,1,"Gm2a","ENSMUSG00000000594"
"98","ENSMUST00000199845","ENSMUSG00000000600","Krit1","5","retained_intron",3803184,3841284,12,"Krit1","ENSMUSG00000000600"
"99","ENSMUST00000000619","ENSMUSG00000000605","Clcn4","7","protein_coding",7282309,7299533,10,"Clcn4","ENSMUSG00000000605"
"100","ENSMUST00000228139","ENSMUSG00000000606","Vmn2r88","14","protein_coding",51410819,51419377,4,"Vmn2r88","ENSMUSG00000000606"
"101","ENSMUST00000156890","ENSMUSG00000000617","Grm6","11","processed_transcript",50850685,50852438,4,"Grm6","ENSMUSG00000000617"
"102","ENSMUST00000000642","ENSMUSG00000000628","Hk2","6","protein_coding",82725025,82774454,4,"Hk2","ENSMUSG00000000628"
"103","ENSMUST00000108375","ENSMUSG00000000631","Myo18a","11","protein_coding",77763246,77865980,24,"Myo18a","ENSMUSG00000000631"
"104","ENSMUST00000093995","ENSMUSG00000000632","Sez6","11","protein_coding",77930800,77979048,9,"Sez6","ENSMUSG00000000632"
"105","ENSMUST00000000687","ENSMUSG00000000673","Haao","17","protein_coding",83831356,83846790,1,"Haao","ENSMUSG00000000673"
"106","ENSMUST00000145122","ENSMUSG00000000682","Cd52","4","processed_transcript",134082448,134095041,3,"Cd52","ENSMUSG00000000682"
"107","ENSMUST00000094004","ENSMUSG00000000686","Abhd15","11","protein_coding",77515121,77520045,3,"Abhd15","ENSMUSG00000000686"
"108","ENSMUST00000173432","ENSMUSG00000000690","Hoxb6","11","protein_coding",96292476,96301569,2,"Hoxb6","ENSMUSG00000000690"
"109","ENSMUST00000152679","ENSMUSG00000000693","Loxl3","6","processed_transcript",83034173,83037555,5,"Loxl3","ENSMUSG00000000693"
"110","ENSMUST00000000717","ENSMUSG00000000701","Tcl1b5","12","protein_coding",105176344,105181145,1,"Tcl1b5","ENSMUSG00000000701"
"111","ENSMUST00000041674","ENSMUSG00000000706","Btn1a1","13","protein_coding",23456992,23465875,3,"Btn1a1","ENSMUSG00000000706"
"112","ENSMUST00000163648","ENSMUSG00000000708","Kat2b","17","processed_transcript",53566861,53624491,7,"Kat2b","ENSMUSG00000000708"
"113","ENSMUST00000000727","ENSMUSG00000000711","Rab5b","10","protein_coding",128677175,128696264,2,"Rab5b","ENSMUSG00000000711"
"114","ENSMUST00000124178","ENSMUSG00000000724","Cryba1","11","retained_intron",77718615,77721834,2,"Cryba1","ENSMUSG00000000724"
"115","ENSMUST00000135316","ENSMUSG00000000730","Dnmt3l","10","processed_transcript",78041947,78045903,8,"Dnmt3l","ENSMUSG00000000730"
"116","ENSMUST00000145975","ENSMUSG00000000731","Aire","10","protein_coding",78030022,78043580,16,"Aire","ENSMUSG00000000731"
"117","ENSMUST00000105393","ENSMUSG00000000732","Icosl","10","protein_coding",78069302,78079525,4,"Icosl","ENSMUSG00000000732"
"118","ENSMUST00000092907","ENSMUSG00000000751","Rpa1","11","protein_coding",75298166,75348324,5,"Rpa1","ENSMUSG00000000751"
"119","ENSMUST00000000769","ENSMUSG00000000753","Serpinf1","11","protein_coding",75409769,75422701,8,"Serpinf1","ENSMUSG00000000753"
"120","ENSMUST00000164774","ENSMUSG00000000759","Tubgcp3","8","nonsense_mediated_decay",12614277,12672099,9,"Tubgcp3","ENSMUSG00000000759"
"121","ENSMUST00000105611","ENSMUSG00000000766","Oprm1","10","protein_coding",6788809,7038198,31,"Oprm1","ENSMUSG00000000766"
"122","ENSMUST00000000793","ENSMUSG00000000776","Polr3d","14","protein_coding",70438757,70443447,6,"Polr3d","ENSMUSG00000000776"
"123","ENSMUST00000086844","ENSMUSG00000000782","Tcf7","11","protein_coding",52252371,52282571,2,"Tcf7","ENSMUSG00000000782"
"124","ENSMUST00000000804","ENSMUSG00000000787","Ddx3x","X","protein_coding",13280970,13294052,5,"Ddx3x","ENSMUSG00000000787"
"125","ENSMUST00000211936","ENSMUSG00000000791","Il12rb1","8","retained_intron",70808449,70813923,6,"Il12rb1","ENSMUSG00000000791"
"126","ENSMUST00000000809","ENSMUSG00000000792","Slc5a5","8","protein_coding",70882889,70892757,1,"Slc5a5","ENSMUSG00000000792"
"127","ENSMUST00000000811","ENSMUSG00000000794","Kcnn3","3","protein_coding",89520164,89667761,2,"Kcnn3","ENSMUSG00000000794"
"128","ENSMUST00000108075","ENSMUSG00000000804","Usp32","11","protein_coding",84984442,85140038,9,"Usp32","ENSMUSG00000000804"
"129","ENSMUST00000139416","ENSMUSG00000000805","Car4","11","retained_intron",84957786,84962555,6,"Car4","ENSMUSG00000000805"
"130","ENSMUST00000000828","ENSMUSG00000000811","Txnrd3","6","protein_coding",89643988,89675529,2,"Txnrd3","ENSMUSG00000000811"
"131","ENSMUST00000000834","ENSMUSG00000000817","Fasl","1","protein_coding",161780689,161788495,2,"Fasl","ENSMUSG00000000817"
"132","ENSMUST00000108789","ENSMUSG00000000823","Zfp512b","2","protein_coding",181582103,181592803,10,"Zfp512b","ENSMUSG00000000823"
"133","ENSMUST00000072334","ENSMUSG00000000826","Dnajc5","2","protein_coding",181520485,181555133,6,"Dnajc5","ENSMUSG00000000826"
"134","ENSMUST00000184588","ENSMUSG00000000827","Tpd52l2","2","nonsense_mediated_decay",181497142,181515115,12,"Tpd52l2","ENSMUSG00000000827"
"135","ENSMUST00000088546","ENSMUSG00000000838","Fmr1","X","protein_coding",68678541,68717963,13,"Fmr1","ENSMUSG00000000838"
"136","ENSMUST00000118955","ENSMUSG00000000861","Bcl11a","11","protein_coding",24080670,24173558,6,"Bcl11a","ENSMUSG00000000861"
"137","ENSMUST00000127858","ENSMUSG00000000869","Il4","11","processed_transcript",53602982,53617224,4,"Il4","ENSMUSG00000000869"
"138","ENSMUST00000000896","ENSMUSG00000000876","Pxmp4","2","protein_coding",154585758,154603708,2,"Pxmp4","ENSMUSG00000000876"
"139","ENSMUST00000000901","ENSMUSG00000000881","Dlg3","X","protein_coding",100767722,100818406,8,"Dlg3","ENSMUSG00000000881"
"140","ENSMUST00000139625","ENSMUSG00000000884","Gnb1l","16","protein_coding",18498823,18552388,11,"Gnb1l","ENSMUSG00000000884"
"141","ENSMUST00000000910","ENSMUSG00000000889","Dbh","2","protein_coding",27165233,27183200,2,"Dbh","ENSMUSG00000000889"
"142","ENSMUST00000132869","ENSMUSG00000000901","Mmp11","10","nonsense_mediated_decay",75923222,75923993,6,"Mmp11","ENSMUSG00000000901"
"143","ENSMUST00000000925","ENSMUSG00000000902","Smarcb1","10","protein_coding",75896769,75921617,6,"Smarcb1","ENSMUSG00000000902"
"144","ENSMUST00000000926","ENSMUSG00000000903","Vpreb3","10","protein_coding",75948300,75949657,2,"Vpreb3","ENSMUSG00000000903"
"145","ENSMUST00000000939","ENSMUSG00000000915","Hip1r","5","protein_coding",123973628,124005558,7,"Hip1r","ENSMUSG00000000915"
"146","ENSMUST00000000940","ENSMUSG00000000916","Nsun5","5","protein_coding",135369953,135376798,9,"Nsun5","ENSMUSG00000000916"
"147","ENSMUST00000000958","ENSMUSG00000000934","Top1mt","15","protein_coding",75657035,75678800,1,"Top1mt","ENSMUSG00000000934"
"148","ENSMUST00000101395","ENSMUSG00000000942","Hoxa4","6","protein_coding",52189671,52191753,1,"Hoxa4","ENSMUSG00000000942"
"149","ENSMUST00000189432","ENSMUSG00000000948","Gm38393","7","nonsense_mediated_decay",59974149,60005064,4,"Gm38393","ENSMUSG00000000948"
"150","ENSMUST00000089688","ENSMUSG00000000957","Mmp14","14","protein_coding",54431612,54441265,7,"Mmp14","ENSMUSG00000000957"
"151","ENSMUST00000000984","ENSMUSG00000000958","Slc7a7","14","protein_coding",54369442,54409460,12,"Slc7a7","ENSMUSG00000000958"
"152","ENSMUST00000228567","ENSMUSG00000000959","Oxa1l","14","retained_intron",54360834,54361892,5,"Oxa1l","ENSMUSG00000000959"
"153","ENSMUST00000001002","ENSMUSG00000000976","Heatr6","11","protein_coding",83753696,83783754,5,"Heatr6","ENSMUSG00000000976"
"154","ENSMUST00000001008","ENSMUSG00000000982","Ccl3","11","protein_coding",83647844,83649355,1,"Ccl3","ENSMUSG00000000982"
"155","ENSMUST00000001009","ENSMUSG00000000983","Wfdc18","11","protein_coding",83709015,83711348,3,"Wfdc18","ENSMUSG00000000983"
"156","ENSMUST00000001040","ENSMUSG00000001014","Icam4","9","protein_coding",21029373,21030595,2,"Icam4","ENSMUSG00000001014"
"157","ENSMUST00000196769","ENSMUSG00000001016","Ilf2","3","retained_intron",90476126,90487963,6,"Ilf2","ENSMUSG00000001016"
"158","ENSMUST00000107343","ENSMUSG00000001017","Chtop","3","protein_coding",90498956,90509450,9,"Chtop","ENSMUSG00000001017"
"159","ENSMUST00000107352","ENSMUSG00000001018","Snapin","3","retained_intron",90488026,90490428,5,"Snapin","ENSMUSG00000001018"
"160","ENSMUST00000199225","ENSMUSG00000001021","S100a3","3","processed_transcript",90560578,90585325,5,"S100a3","ENSMUSG00000001021"
"161","ENSMUST00000001051","ENSMUSG00000001025","S100a6","3","protein_coding",90612882,90614414,4,"S100a6","ENSMUSG00000001025"
"162","ENSMUST00000001055","ENSMUSG00000001029","Icam2","11","protein_coding",106377656,106382781,5,"Icam2","ENSMUSG00000001029"
"163","ENSMUST00000152755","ENSMUSG00000001034","Mapk7","11","processed_transcript",61488812,61494266,14,"Mapk7","ENSMUSG00000001034"
"164","ENSMUST00000108711","ENSMUSG00000001036","Epn2","11","protein_coding",61517249,61579669,13,"Epn2","ENSMUSG00000001036"
"165","ENSMUST00000102657","ENSMUSG00000001039","B9d1","11","protein_coding",61505144,61512931,6,"B9d1","ENSMUSG00000001039"
"166","ENSMUST00000001079","ENSMUSG00000001052","Sec24b","3","protein_coding",129982759,130060907,9,"Sec24b","ENSMUSG00000001052"
"167","ENSMUST00000001080","ENSMUSG00000001053","N4bp3","11","protein_coding",51643063,51650842,3,"N4bp3","ENSMUSG00000001053"
"168","ENSMUST00000136020","ENSMUSG00000001054","Rmnd5b","11","nonsense_mediated_decay",51623671,51635647,4,"Rmnd5b","ENSMUSG00000001054"
"169","ENSMUST00000127405","ENSMUSG00000001056","Nhp2","11","protein_coding",51619735,51623714,2,"Nhp2","ENSMUSG00000001056"
"170","ENSMUST00000064462","ENSMUSG00000001076","C1ql4","15","protein_coding",99084686,99087817,1,"C1ql4","ENSMUSG00000001076"
"171","ENSMUST00000001109","ENSMUSG00000001082","Mfsd10","5","protein_coding",34633642,34637189,21,"Mfsd10","ENSMUSG00000001082"
"172","ENSMUST00000170102","ENSMUSG00000001089","Luzp1","4","protein_coding",136469761,136549315,7,"Luzp1","ENSMUSG00000001089"
"173","ENSMUST00000001122","ENSMUSG00000001095","Slc13a2","11","protein_coding",78397087,78422217,1,"Slc13a2","ENSMUSG00000001095"
"174","ENSMUST00000102581","ENSMUSG00000001098","Kctd10","5","protein_coding",114363567,114380508,7,"Kctd10","ENSMUSG00000001098"
"175","ENSMUST00000001127","ENSMUSG00000001100","Poldip2","11","protein_coding",78512193,78522736,6,"Poldip2","ENSMUSG00000001100"
"176","ENSMUST00000001130","ENSMUSG00000001103","Sebox","11","protein_coding",78503447,78505081,2,"Sebox","ENSMUSG00000001103"
"177","ENSMUST00000128788","ENSMUSG00000001105","Ift20","11","protein_coding",78536361,78541737,5,"Ift20","ENSMUSG00000001105"
"178","ENSMUST00000001148","ENSMUSG00000001120","Pcbp3","10","protein_coding",76761857,76961788,9,"Pcbp3","ENSMUSG00000001120"
"179","ENSMUST00000108268","ENSMUSG00000001123","Lgals9","11","protein_coding",78962974,78984946,4,"Lgals9","ENSMUSG00000001123"
"180","ENSMUST00000136451","ENSMUSG00000001127","Araf","X","nonsense_mediated_decay",20797814,20860497,10,"Araf","ENSMUSG00000001127"
"181","ENSMUST00000001156","ENSMUSG00000001128","Cfp","X","protein_coding",20925454,20931555,2,"Cfp","ENSMUSG00000001128"
"182","ENSMUST00000115342","ENSMUSG00000001131","Timp1","X","protein_coding",20870166,20874733,2,"Timp1","ENSMUSG00000001131"
"183","ENSMUST00000129899","ENSMUSG00000001134","Uxt","X","processed_transcript",20941722,20961991,6,"Uxt","ENSMUSG00000001134"
"184","ENSMUST00000001166","ENSMUSG00000001138","Cnnm3","1","protein_coding",36511867,36528237,5,"Cnnm3","ENSMUSG00000001138"
"185","ENSMUST00000192969","ENSMUSG00000001143","Lman2l","1","protein_coding",36419871,36439668,8,"Lman2l","ENSMUSG00000001143"
"186","ENSMUST00000170795","ENSMUSG00000001150","Mcm3ap","10","protein_coding",76468927,76515857,6,"Mcm3ap","ENSMUSG00000001150"
"187","ENSMUST00000220395","ENSMUSG00000001151","Pcnt","10","processed_transcript",76351263,76416912,8,"Pcnt","ENSMUSG00000001151"
"188","ENSMUST00000001184","ENSMUSG00000001156","Mxd1","6","protein_coding",86647042,86669161,4,"Mxd1","ENSMUSG00000001156"
"189","ENSMUST00000001185","ENSMUSG00000001157","Gmcl1","6","protein_coding",86691768,86733383,4,"Gmcl1","ENSMUSG00000001157"
"190","ENSMUST00000001186","ENSMUSG00000001158","Snrnp27","6","protein_coding",86675151,86684522,4,"Snrnp27","ENSMUSG00000001158"
"191","ENSMUST00000117193","ENSMUSG00000001166","Oas1c","5","protein_coding",120800194,120812514,3,"Oas1c","ENSMUSG00000001166"
"192","ENSMUST00000072476","ENSMUSG00000001168","Oas1h","5","protein_coding",120861421,120873506,2,"Oas1h","ENSMUSG00000001168"
"193","ENSMUST00000001202","ENSMUSG00000001173","Ocrl","X","protein_coding",47912387,47965868,7,"Ocrl","ENSMUSG00000001173"
"194","ENSMUST00000110082","ENSMUSG00000001175","Calm1","12","protein_coding",100199435,100209814,4,"Calm1","ENSMUSG00000001175"
"195","ENSMUST00000001240","ENSMUSG00000001211","Agpat3","10","protein_coding",78269178,78352442,13,"Agpat3","ENSMUSG00000001211"
"196","ENSMUST00000167432","ENSMUSG00000001225","Slc26a3","12","protein_coding",31390871,31450972,7,"Slc26a3","ENSMUSG00000001225"
"197","ENSMUST00000001256","ENSMUSG00000001227","Sema6b","17","protein_coding",56123085,56140343,2,"Sema6b","ENSMUSG00000001227"
